"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20026,"nsh",8476887,2,"585-604;1179-1200;904-929;1093-1118;207-245;791-829;961-1006;0-48;638-686;397-459","Filip","Forsberg","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476887,1,"609-619;0-17;739-759;139-176;453-493;335-378;1111-1172;917-1016","Filip","Forsberg","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476925,3,"146-167;721-752;963-999;372-423;606-662;177-251","Colton","Sissons","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476925,2,"604-627;704-729;179-207;356-400;1046-1093","Colton","Sissons","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476925,1,"721-739;309-335;493-523;832-865;1021-1061;93-147","Colton","Sissons","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8477942,3,"155-167;721-752;107-146;372-413;951-1028","Kevin","Fiala","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8477942,2,"1189-1200;1093-1118;898-929;968-1006;751-791;207-252;0-48;390-452","Kevin","Fiala","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8477942,1,"604-619;0-17;739-759;453-493;135-176;335-385;1111-1161","Kevin","Fiala","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8478042,3,"281-296;588-606;1159-1178;350-372;752-788;423-461;905-951;54-103;1054-1109;606-606","Viktor","Arvidsson","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8478042,2,"520-537;687-704;1006-1046;306-356;850-904;107-179","Viktor","Arvidsson","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8478042,1,"819-832;865-879;378-396;1172-1200;54-93;176-232;619-709","Viktor","Arvidsson","l","2016-10-16 00:30:00+00"
2016,20045,"phi",8470159,3,"376-402;522-562;37-81","Boyd","Gordon","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8470159,2,"161-187;420-451;792-828","Boyd","Gordon","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8470159,1,"1079-1092;315-333;95-133;552-594;1001-1046;808-858","Boyd","Gordon","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8471762,3,"1155-1157;469-478;367-402;229-271;532-578;37-94;822-891","Chris","VandeVelde","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8471762,2,"283-304;768-792;161-187;870-900;395-460;614-679","Chris","VandeVelde","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8471762,1,"536-552;307-333;1001-1046;85-133;808-858","Chris","VandeVelde","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8473512,3,"114-130;594-624;437-469;0-37;1157-1200;322-376;995-1052;875-934;1094-1155;165-229;650-753","Claude","Giroux","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8473512,2,"187-206;1016-1038;514-543;1168-1200;900-937;1051-1103;304-358;658-722;0-73","Claude","Giroux","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8473512,1,"0-31;655-689;770-808;133-175;1092-1140;264-315;920-974;466-526;369-440","Claude","Giroux","c","2016-10-19 00:30:00+00"
2016,20045,"chi",8473604,3,"114-130;778-804;440-469;371-402;559-594;0-37;877-916;183-229;704-750;1040-1095","Jonathan","Toews","c","2016-10-19 00:30:00+00"
2016,20045,"chi",8473604,2,"514-543;1008-1038;304-335;1063-1103;768-810;1153-1200;679-731;0-53;185-250","Jonathan","Toews","c","2016-10-19 00:30:00+00"
2016,20045,"chi",8473604,1,"417-436;309-333;0-27;770-808;133-175;498-543;644-689;1079-1139;905-974","Jonathan","Toews","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8474161,3,"944-963;562-594;81-114;1062-1102;130-174;402-446;183-229;271-322;680-753","Jakub","Voracek","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474161,2,"79-106;543-574;1168-1200;729-768;304-350;1051-1103;893-958","Jakub","Voracek","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474161,1,"1181-1200;31-56;744-770;1046-1079;333-369;594-631;175-217;397-440;858-905","Jakub","Voracek","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474190,3,"114-130;446-469;594-624;0-37;1019-1062;322-371;1102-1155;174-229;680-753;875-962;229-229","Wayne","Simmonds","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474190,2,"1051-1052;1016-1038;1168-1200;1063-1103;828-870;500-543;249-299;958-1015;654-729;0-79","Wayne","Simmonds","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474190,1,"503-526;0-31;770-808;133-175;264-307;1092-1140;631-689;905-970;369-440","Wayne","Simmonds","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474668,3,"1135-1155;229-271;1157-1200;469-518;624-680;963-1022;753-822","Dale","Weise","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474668,2,"1016-1038;514-543;464-500;679-726;1103-1151;106-161;902-958","Dale","Weise","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8474668,1,"526-536;970-1001;56-93;1140-1181;217-264;689-744;440-503","Dale","Weise","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8476177,3,"518-532;114-130;451-469;1135-1155;594-624;1022-1052;0-37;1157-1200;183-229;891-944;310-367;680-753;37-37","Matt","Read","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8476177,2,"1038-1051;792-828;460-500;206-249;1052-1103;106-161;358-420;574-654;1103-1103","Matt","Read","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8476177,1,"526-552;974-1001;56-85;228-264;1140-1181;689-746","Matt","Read","r","2016-10-19 00:30:00+00"
2016,20045,"phi",8476461,3,"962-963;934-944;562-594;81-114;402-437;1052-1094;271-322;130-183;753-822;114-114","Sean","Couturier","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8476461,2,"187-206;73-106;249-283;1103-1139;828-870;722-768;543-598;350-420;937-1009","Sean","Couturier","c","2016-10-19 00:30:00+00"
2016,20045,"phi",8476461,1,"1181-1200;31-56;1046-1079;333-369;733-770;440-479;175-222;594-655;858-920","Sean","Couturier","c","2016-10-19 00:30:00+00"
