"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20050,"wpg",8476392,2,"189-209;1059-1094;514-555;664-708;0-55;289-401","Adam","Lowry","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476392,3,"288-304;0-20;225-247;570-608;1053-1096;365-412;797-846;1145-1200","Adam","Lowry","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476460,1,"761-771;392-406;686-721;561-607;808-857;31-101;972-1051;183-268","Mark","Scheifele","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476460,2,"401-407;767-784;55-92;472-514;1094-1141;209-289;605-692;846-939","Mark","Scheifele","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476460,3,"1024-1034;1041-1053;348-365;780-797;55-88;191-225;1096-1145;412-469;846-913;608-681;365-365","Mark","Scheifele","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476460,4,"107-151;0-45","Mark","Scheifele","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476469,1,"265-268;510-544;857-900;313-357;630-680;1099-1178","Joel","Armia","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476469,2,"555-594;1141-1200;407-472;135-205;926-1012","Joel","Armia","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476469,3,"245-247;288-304;1053-1089;365-412;797-855;564-628","Joel","Armia","r","2016-10-20 00:00:00+00"
2016,20050,"tor",8477939,1,"93-101;900-948;678-728;510-576;268-353;1053-1178","William","Nylander","c","2016-10-20 00:00:00+00"
2016,20050,"tor",8477939,2,"401-415;571-605;1012-1047;92-135;784-847;270-345;407-407","William","Nylander","c","2016-10-20 00:00:00+00"
2016,20050,"tor",8477939,3,"1184-1200;845-863;469-501;290-335;978-1024;628-682;121-191","William","Nylander","c","2016-10-20 00:00:00+00"
2016,20050,"tor",8477939,4,"96-159","William","Nylander","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8477940,1,"1178-1200;607-630;721-761;406-463;900-972;101-183","Nikolaj","Ehlers","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8477940,2,"279-289;692-734;92-135;1012-1059;784-846","Nikolaj","Ehlers","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8477940,3,"1125-1145;925-957;20-55;304-354;469-534;121-191;693-780","Nikolaj","Ehlers","r","2016-10-20 00:00:00+00"
