"season","game_id","team","period","strength_sit","timeranges"
2016,20566,"wsh",1,"sh","327-399;830-950"
2016,20566,"wsh",2,"ev5","0-70;197-508;628-702;813-1002;1122-1200"
2016,20566,"wsh",2,"pp","508-628"
2016,20566,"wsh",2,"sh","77-197;702-813;1002-1122"
2016,20566,"wsh",3,"ev5","0-415;535-1200"
2016,20566,"wsh",3,"sh","415-535"
2016,20586,"njd",1,"ev5","0-82;201-479;567-688;808-880;915-974;1094-1200"
2016,20586,"njd",1,"pp","82-201;688-808;974-1094"
2016,20586,"njd",1,"sh","479-567;880-915"
2016,20586,"njd",2,"ev5","0-1200"
2016,20586,"njd",3,"ev5","0-501;636-907;1030-1073;1170-1183"
2016,20586,"njd",3,"pp","907-996"
2016,20586,"njd",3,"sh","524-636;996-1030"
2016,20975,"det",1,"sh","358-398;481-601"
2016,20975,"det",2,"ev5","0-130;250-595;715-1200"
2016,20975,"det",2,"pp","130-250"
2016,20975,"det",2,"sh","595-715"
2016,20975,"det",3,"ev5","0-1126"
2016,20975,"det",3,"sh","1195-1200"
2016,21004,"car",2,"ev5","45-263;383-1200"
2016,21004,"car",2,"pp","0-45"
2016,21004,"car",2,"sh","263-383"
2016,21004,"car",3,"ev5","0-42;162-687;807-1200"
2016,21004,"car",3,"pp","42-162"
2016,21004,"car",3,"sh","687-807"
2016,20933,"sjs",1,"ev5","0-867;987-1200"
2016,20933,"sjs",1,"pp","867-987"
2016,20933,"sjs",2,"ev5","0-349;401-702"
2016,20933,"sjs",2,"sh","349-401;702-735"
2016,20986,"phi",1,"ev5","0-330;369-751;837-1200"
2016,20986,"phi",1,"pp","330-369"
2016,20986,"phi",1,"sh","751-837"
2016,20986,"phi",2,"ev5","0-1200"
2016,20986,"phi",3,"ev5","0-593;713-815;824-857;980-1043;1052-1087;1140-1165"
2016,20986,"phi",3,"pp","593-713;860-980"
2016,20986,"phi",3,"sh","815-824"
2016,20944,"lak",1,"ev5","0-414;561-1200"
2016,20944,"lak",1,"pp","441-561"
2016,20944,"lak",2,"ev5","0-153;273-633"
2016,20944,"lak",2,"pp","153-273;633-649"
2016,20951,"ana",1,"ev5","0-260;380-456;605-1075;1195-1200"
2016,20951,"ana",1,"pp","485-605"
2016,20951,"ana",1,"sh","260-380;1075-1195"
2016,20951,"ana",2,"ev5","0-90;210-336;353-1200"
2016,20951,"ana",2,"sh","90-210;336-353"
2016,20594,"mtl",1,"ev5","0-227;347-475;505-902;961-1100;1198-1200"
2016,20594,"mtl",1,"pp","1100-1198"
2016,20594,"mtl",1,"sh","475-505;931-961"
2016,20594,"mtl",2,"ev5","0-20;36-266;386-768;888-1143"
2016,20594,"mtl",2,"pp","20-36;768-888;1143-1200"
2016,20594,"mtl",3,"ev5","120-340;460-765;885-1047"
2016,20594,"mtl",3,"pp","340-460;765-885"
2016,20594,"mtl",3,"sh","63-120"
2016,20633,"nyr",1,"ev5","0-541;672-737;857-884;1048-1200"
2016,20633,"nyr",1,"pp","737-857;884-939"
2016,20633,"nyr",1,"sh","552-672;1004-1048"
