"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160531,30411,"sjs","away",8476881,"c",3,"regular",736,779
20152016,20160531,30411,"pit","home",8473548,"rw",3,"regular",744,787
20152016,20160531,30411,"pit","home",8477839,"lw",1,"regular",939,982
20152016,20160531,30411,"pit","home",8471887,"rw",1,"regular",939,982
20152016,20160531,30411,"pit","home",8464989,"c",3,"regular",959,1002
20152016,20160531,30411,"sjs","away",8470613,"d",3,"regular",1004,1047
20152016,20160531,30411,"sjs","away",8470794,"c",3,"regular",1004,1047
20152016,20160531,30411,"sjs","away",8466138,"c",3,"regular",1004,1047
20152016,20160531,30411,"sjs","away",8468542,"d",3,"regular",1004,1047
20152016,20160531,30411,"sjs","away",8476881,"c",3,"regular",1004,1047
20152016,20160531,30411,"pit","home",8474176,"lw",3,"regular",1004,1047
20152016,20160531,30411,"pit","home",8474009,"c",3,"regular",1004,1047
20152016,20160531,30411,"pit","home",8474176,"lw",3,"regular",1136,1179
20152016,20160531,30411,"pit","home",8474009,"c",3,"regular",1136,1179
20152016,20160531,30411,"sjs","away",8470794,"c",1,"regular",49,93
20152016,20160531,30411,"sjs","away",8466138,"c",1,"regular",49,93
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",49,93
20152016,20160531,30411,"sjs","away",8476881,"c",1,"regular",49,93
20152016,20160531,30411,"sjs","away",8471709,"d",1,"regular",368,412
20152016,20160531,30411,"pit","home",8471724,"d",3,"regular",419,463
20152016,20160531,30411,"pit","home",8475832,"rw",3,"regular",419,463
20152016,20160531,30411,"sjs","away",8476881,"c",3,"regular",545,589
20152016,20160531,30411,"pit","home",8475832,"rw",2,"regular",677,721
20152016,20160531,30411,"sjs","away",8470613,"d",1,"regular",828,872
20152016,20160531,30411,"sjs","away",8474053,"c",1,"regular",885,929
20152016,20160531,30411,"sjs","away",8476919,"c",2,"regular",1015,1059
20152016,20160531,30411,"sjs","away",8474027,"d",2,"regular",1015,1059
20152016,20160531,30411,"pit","home",8474009,"c",2,"regular",1019,1063
20152016,20160531,30411,"pit","home",8477839,"lw",2,"regular",0,45
20152016,20160531,30411,"sjs","away",8471709,"d",2,"regular",0,45
20152016,20160531,30411,"pit","home",8476874,"d",3,"regular",133,178
20152016,20160531,30411,"pit","home",8473933,"d",2,"regular",288,333
20152016,20160531,30411,"pit","home",8476874,"d",2,"regular",288,333
20152016,20160531,30411,"pit","home",8470543,"lw",1,"regular",358,403
20152016,20160531,30411,"pit","home",8474176,"lw",1,"regular",403,448
20152016,20160531,30411,"pit","home",8473933,"d",3,"regular",463,508
20152016,20160531,30411,"sjs","away",8475820,"rw",3,"regular",757,802
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",757,802
20152016,20160531,30411,"sjs","away",8474053,"c",3,"regular",757,802
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",757,802
20152016,20160531,30411,"pit","home",8470543,"lw",3,"regular",959,1004
20152016,20160531,30411,"pit","home",8473548,"rw",3,"regular",1002,1047
20152016,20160531,30411,"pit","home",8471724,"d",1,"regular",172,218
20152016,20160531,30411,"pit","home",8471675,"c",3,"regular",202,248
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",245,291
20152016,20160531,30411,"sjs","away",8474027,"d",2,"regular",283,329
20152016,20160531,30411,"sjs","away",8474096,"c",1,"regular",766,812
20152016,20160531,30411,"sjs","away",8474739,"c",1,"regular",766,812
20152016,20160531,30411,"pit","home",8475208,"d",1,"regular",893,939
20152016,20160531,30411,"pit","home",8470611,"c",1,"regular",893,939
20152016,20160531,30411,"pit","home",8471724,"d",1,"regular",893,939
20152016,20160531,30411,"pit","home",8475832,"rw",1,"regular",893,939
20152016,20160531,30411,"sjs","away",8476919,"c",1,"regular",929,975
20152016,20160531,30411,"pit","home",8473933,"d",2,"regular",0,47
20152016,20160531,30411,"pit","home",8476874,"d",2,"regular",0,47
20152016,20160531,30411,"pit","home",8470543,"lw",1,"regular",93,140
20152016,20160531,30411,"pit","home",8474013,"d",1,"regular",93,140
20152016,20160531,30411,"sjs","away",8464977,"c",1,"regular",124,171
20152016,20160531,30411,"sjs","away",8474096,"c",1,"regular",124,171
20152016,20160531,30411,"sjs","away",8474739,"c",1,"regular",124,171
20152016,20160531,30411,"pit","home",8464989,"c",2,"regular",677,724
20152016,20160531,30411,"sjs","away",8475455,"d",1,"regular",1040,1087
